ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20260213,56.74,57.22,56.46,56.5,56.74,-0.24,-0.423,62640.12,355946.662
000538.SZ,20260224,56.49,56.84,56.29,56.61,56.5,0.11,0.1947,57987.57,327873.51
000538.SZ,20260225,56.62,56.85,56.39,56.54,56.61,-0.07,-0.1237,59232.99,335494.272
000538.SZ,20260226,56.54,56.65,56.16,56.25,56.54,-0.29,-0.5129,53432.25,300989.766
000538.SZ,20260227,56.19,56.4,56.0,56.05,56.25,-0.2,-0.3556,59053.83,331962.008
000538.SZ,20260302,55.8,56.19,55.5,56.01,56.05,-0.04,-0.0714,71480.05,399684.792
000538.SZ,20260303,56.0,56.55,55.93,55.95,56.01,-0.06,-0.1071,86847.79,488009.823
000538.SZ,20260304,55.78,55.83,55.03,55.43,55.95,-0.52,-0.9294,106266.25,588421.048
000538.SZ,20260305,55.59,55.93,55.4,55.89,55.43,0.46,0.8299,60589.71,337466.024
000538.SZ,20260306,55.8,56.17,55.72,56.15,55.89,0.26,0.4652,54665.99,306303.288
000538.SZ,20260309,55.89,56.83,55.7,56.22,56.15,0.07,0.1247,89356.01,503687.434
000538.SZ,20260310,56.4,56.52,56.1,56.5,56.22,0.28,0.498,63549.95,358006.368
000538.SZ,20260311,56.5,56.76,56.16,56.7,56.5,0.2,0.354,59676.87,337513.63
000538.SZ,20260312,56.66,56.8,56.13,56.3,56.7,-0.4,-0.7055,83461.71,470558.942
000538.SZ,20260313,56.26,56.58,56.17,56.3,56.3,0.0,0.0,46696.23,263168.619
000538.SZ,20260316,56.2,56.95,56.1,56.79,56.3,0.49,0.8703,71425.94,404407.275
000538.SZ,20260317,56.88,57.3,56.65,57.09,56.79,0.3,0.5283,88264.31,504234.9
000538.SZ,20260318,57.07,57.1,56.52,56.86,57.09,-0.23,-0.4029,52132.46,295741.003
000538.SZ,20260319,56.7,57.08,56.55,56.73,56.86,-0.13,-0.2286,58298.68,331528.571
000538.SZ,20260320,56.8,57.37,56.71,56.74,56.73,0.01,0.0176,86199.88,492408.775
000538.SZ,20260323,56.06,56.11,54.68,54.94,56.74,-1.8,-3.1724,157655.66,873133.502
000538.SZ,20260324,55.44,55.67,54.86,55.49,54.94,0.55,1.0011,65734.49,363775.958
000538.SZ,20260325,55.69,55.7,55.28,55.39,55.49,-0.1,-0.1802,52058.8,288784.212
